T,mode,acc_Tprime_1,acc_Tprime_5,acc_Tprime_10,acc_Tprime_20,acc_Tprime_50
50,none,0.7708333308498064,0.859375,0.8836805522441864,0.8871527761220932,0.904513880610466
50,alternating,0.5121527773638567,0.8437500024835268,0.8663194427887598,0.8697916691501936,0.8940972263614336
50,full,0.31249999813735485,0.7100694452722868,0.8263888905445734,0.8472222263614336,0.859375
50,hybrid_early,0.477430559694767,0.8368055522441864,0.8576388855775198,0.8802083308498064,0.8871527736385664
50,hybrid_late,0.5868055510024229,0.8697916641831398,0.8871527711550394,0.8906249950329462,0.8958333283662796
30,none,0.7916666641831398,0.8489583333333334,0.8697916666666666,0.8767361044883728,0.8784722164273262
30,alternating,0.520833338300387,0.9218749950329462,0.9357638880610466,0.94097222139438,0.9392361144224802
30,full,0.4114583345750968,0.8350694502393404,0.8749999975164732,0.8680555497606596,0.8767361094554266
30,hybrid_early,0.2986111094554265,0.5173611131807169,0.7413194452722868,0.824652781089147,0.8489583333333334
30,hybrid_late,0.6944444502393404,0.8333333308498064,0.8506944427887598,0.8697916691501936,0.87847222139438
